Tempo (s),Altura (m),g (m/s²),,,Tempo,Gravidade
"0,74","1,00","3,65",,Media,"0,55","8,29"
"0,84","1,00","2,83",,Desv Pad,"0,22","4,25"
"0,55","1,00","6,61",,med_sup,"0,78","3,32"
"0,55","1,00","6,61",,med_inf,"0,33","18,63"
"0,52","1,00","7,40",,med,"0,55","6,57"
"0,57","1,00","6,16",,,med,"9,51"
"0,56","1,00","6,38",,,desv pad,"8,07"
"0,90","1,00","2,47",,,,
"0,57","1,00","6,16",,,,
"0,51","1,00","7,69",,,,
"0,50","1,00","8,00",,,,
"0,55","1,00","6,61",,,,
"1,73","1,00","0,67",,,,
"0,62","1,00","5,20",,,,
"0,52","1,00","7,40",,,,
"0,56","1,00","6,38",,,,
"0,59","1,00","5,75",,,,
"0,44","1,00","10,33",,,,
"0,54","1,00","6,86",,,,
"0,59","1,00","5,75",,,,
"0,48","1,00","8,68",,,,
"0,48","1,00","8,68",,,,
"0,42","1,00","11,34",,,,
"0,48","1,00","8,68", ,,,
"0,41","1,00","11,90",,,,
"0,35","1,00","16,33",,,,
"0,35","1,00","16,33",,,,
"0,28","1,00","25,51",,,,
"0,62","1,00","5,20",,,,
"0,55","1,00","6,61",,,,
"0,42","1,00","11,34",,,,
"0,55","1,00","6,61",,,,
"0,48","1,00","8,68",,,,
"0,49","1,00","8,33",,,,
"0,47","1,00","9,05",,,,
"0,55","1,00","6,61",,,,
"0,42","1,00","11,34",,,,
"0,42","1,00","11,34",,,,
"0,48","1,00","8,68",,,,
"0,42","1,00","11,34",,,,
