Tempo (s),Altura (m),g (m/s²),,,Tempo,Gravidade
"0,41","1,00","11,90",,Media,"0,47","11,07"
"0,28","1,00","25,51",,Desv Pad,"0,12","6,23"
"0,62","1,00","5,20",,med_sup,"0,59","5,75"
"0,48","1,00","8,68",,med_inf,"0,35","16,07"
"0,35","1,00","16,33",,med,"0,47","9,01"
"0,49","1,00","8,33",,,med,"10,28"
"0,34","1,00","17,30",,,desv pad,"5,28"
"0,41","1,00","11,90",,,,
"0,48","1,00","8,68",,,,
"0,42","1,00","11,34",,,,
"0,35","1,00","16,33",,,,
"0,35","1,00","16,33",,,,
"0,28","1,00","25,51",,,,
"0,35","1,00","16,33",,,,
"0,48","1,00","8,68",,,,
"0,35","1,00","16,33",,,,
"0,55","1,00","6,61",,,,
"0,42","1,00","11,34",,,,
"0,55","1,00","6,61",,,,
"0,29","1,00","23,78",,,,
"0,62","1,00","5,20",,,,
"0,55","1,00","6,61",,,,
"0,61","1,00","5,37",,,,
"0,61","1,00","5,37", ,,,
"0,67","1,00","4,46",,,,
"0,42","1,00","11,34",,,,
"0,61","1,00","5,37",,,,
"0,68","1,00","4,33",,,,
"0,55","1,00","6,61",,,,
"0,51","1,00","7,69",,,,
"0,55","1,00","6,61",,,,
"0,36","1,00","15,43",,,,
"0,55","1,00","6,61",,,,
"0,55","1,00","6,61",,,,
"0,61","1,00","5,37",,,,
"0,42","1,00","11,34",,,,
"0,35","1,00","16,33",,,,
"0,28","1,00","25,51",,,,
"0,61","1,00","5,37",,,,
"0,49","1,00","8,33",,,,
