Tempo (s),Altura (m),g (m/s²),,,Tempo,Gravidade,,,,,,,
"0,74","1,00","3,65",,Media,"0,52","9,38",,,,,,,
"0,84","1,00","2,83",,Desv Pad,"0,17","5,45",,,,,,,0
"0,55","1,00","6,61",,med_sup,"0,69","4,17",,,,,,,
"0,55","1,00","6,61",,med_inf,"0,35","16,60",,,,,,,
"0,52","1,00","7,40",,med,"0,52","7,40",,,,,,,
"0,57","1,00","6,16",,,med,"9,39",,,,,,,
"0,56","1,00","6,38",,,desv pad,"6,45",,,,,,,
"0,90","1,00","2,47",,,,,,,,,,,
"0,57","1,00","6,16",,,,,,,,,,,
"0,51","1,00","7,69",,,,,,,,,,,
"0,50","1,00","8,00",,,,,,,,,,,
"0,55","1,00","6,61",,,,,,,,,,,
"1,73","1,00","0,67",,,,,,,,,,,
"0,62","1,00","5,20",,,,,,,,,,,
"0,52","1,00","7,40",,,,,,,,,,,
"0,56","1,00","6,38",,,,,,,,,,,
"0,59","1,00","5,75",,,,,,,,,,,
"0,44","1,00","10,33",,,,,,,,,,,
"0,54","1,00","6,86",,,,,,,,,,,
"0,59","1,00","5,75",,,,,,,,,,,
"0,74","1,00","3,65",,,,,,,,,,,
"0,87","1,00","2,64",,,,,,,,,,,
"0,54","1,00","6,86",,,,,,,,,,,
"0,68","1,00","4,33", ,,,,,,,,,,
"0,35","1,00","16,33",,,,,,,,,,,
"0,49","1,00","8,33",,,,,,,,,,,
"0,55","1,00","6,61",,,,,,,,,,,
"0,35","1,00","16,33",,,,,,,,,,,
"0,62","1,00","5,20",,,,,,,,,,,
"0,61","1,00","5,37",,,,,,,,,,,
"0,35","1,00","16,33",,,,,,,,,,,
"0,47","1,00","9,05",,,,,,,,,,,
"0,48","1,00","8,68",,,,,,,,,,,
"0,42","1,00","11,34",,,,,,,,,,,
"0,54","1,00","6,86",,,,,,,,,,,
"0,48","1,00","8,68",,,,,,,,,,,
"0,29","1,00","23,78",,,,,,,,,,,
"0,62","1,00","5,20",,,,,,,,,,,
"0,62","1,00","5,20",,,,,,,,,,,
"0,48","1,00","8,68",,,,,,,,,,,
"0,41","1,00","11,90",,,,,,,,,,,
"0,28","1,00","25,51",,,,,,,,,,,
"0,62","1,00","5,20",,,,,,,,,,,
"0,48","1,00","8,68",,,,,,,,,,,
"0,35","1,00","16,33",,,,,,,,,,,
"0,49","1,00","8,33",,,,,,,,,,,
"0,34","1,00","17,30",,,,,,,,,,,
"0,41","1,00","11,90",,,,,,,,,,,
"0,48","1,00","8,68",,,,,,,,,,,
"0,42","1,00","11,34",,,,,,,,,,,
"0,35","1,00","16,33",,,,,,,,,,,
"0,35","1,00","16,33",,,,,,,,,,,
"0,28","1,00","25,51",,,,,,,,,,,
"0,35","1,00","16,33",,,,,,,,,,,
"0,48","1,00","8,68",,,,,,,,,,,
"0,35","1,00","16,33",,,,,,,,,,,
"0,55","1,00","6,61",,,,,,,,,,,
"0,42","1,00","11,34",,,,,,,,,,,
"0,55","1,00","6,61",,,,,,,,,,,
"0,29","1,00","23,78",,,,,,,,,,,
"0,48","1,00","8,68",,,,,,,,,,,
"0,48","1,00","8,68",,,,,,,,,,,
"0,42","1,00","11,34",,,,,,,,,,,
"0,48","1,00","8,68",,,,,,,,,,,
"0,41","1,00","11,90",,,,,,,,,,,
"0,35","1,00","16,33",,,,,,,,,,,
"0,35","1,00","16,33",,,,,,,,,,,
"0,28","1,00","25,51",,,,,,,,,,,
"0,62","1,00","5,20",,,,,,,,,,,
"0,55","1,00","6,61",,,,,,,,,,,
"0,42","1,00","11,34",,,,,,,,,,,
"0,55","1,00","6,61",,,,,,,,,,,
"0,48","1,00","8,68",,,,,,,,,,,
"0,49","1,00","8,33",,,,,,,,,,,
"0,47","1,00","9,05",,,,,,,,,,,
"0,55","1,00","6,61",,,,,,,,,,,
"0,42","1,00","11,34",,,,,,,,,,,
"0,42","1,00","11,34",,,,,,,,,,,
"0,48","1,00","8,68",,,,,,,,,,,
"0,42","1,00","11,34",,,,,,,,,,,
"0,35","1,00","16,33",,,,,,,,,,,
"0,55","1,00","6,61",,,,,,,,,,,
"0,55","1,00","6,61",,,,,,,,,,,
"0,47","1,00","9,05",,,,,,,,,,,
"0,47","1,00","9,05",,,,,,,,,,,
"0,75","1,00","3,56",,,,,,,,,,,
"0,62","1,00","5,20",,,,,,,,,,,
"0,28","1,00","25,51",,,,,,,,,,,
"0,55","1,00","6,61",,,,,,,,,,,
