Posição,Pos. Med Mov.,Velocidade,Vel. Med. Mov.,Aceleração,Gravidade,Energia Cinética,Energia Pot.,Tempo
"-0,006",,,,,"9,934",,,"0,03229"
"-0,005",,,,,"9,934286121",,,"0,03333"
"-0,004",,,,,,,,"0,03438"
"-0,003",,,,,,,,"0,03542"
"-0,002",,,,,,,,"0,03646"
"-0,001",,,,,,,,"0,03750"
"-0,001",,,,,,,,"0,03854"
"0,000",,,,,,,,"0,03958"
"0,001",,,,,,,,"0,04063"
"0,002",,,,,,,,"0,04167"
"0,003",,,,,,,,"0,04271"
"0,004",,,,,,,,"0,04375"
"0,005",,,,,,,,"0,04479"
"0,005",,,,,,,,"0,04583"
"0,006",,,,,,,,"0,04688"
"0,007",,,,,,,,"0,04792"
"0,008",,,,,,,,"0,04896"
"0,009",,,,,,,,"0,05000"
"0,010","0,002",,,,,,,"0,05104"
"0,011","0,002","0,437",,,,,,"0,05208"
"0,012","0,003","0,850",,,,,,"0,05313"
"0,012","0,004","0,806",,,,,,"0,05417"
"0,014","0,005","0,845",,,,,,"0,05521"
"0,015","0,006","0,862",,,,,,"0,05625"
"0,016","0,007","0,888",,,,,,"0,05729"
"0,017","0,008","0,901",,,,,,"0,05833"
"0,019","0,009","0,926","0,815",,,"0,0041","0,1199","0,05938"
"0,019","0,010","0,919","0,826","11,105",,"0,0042","0,1199","0,06042"
"0,020","0,011","0,946","0,838","11,467",,"0,0043","0,1197","0,06146"
"0,022","0,012","0,954","0,890","49,640",,"0,0049","0,1196","0,06250"
"0,023","0,013","0,948","0,900","9,386",,"0,0050","0,1194","0,06354"
"0,023","0,014","0,932","0,912","12,082",,"0,0051","0,1193","0,06458"
"0,024","0,015","0,955","0,923","10,529",,"0,0052","0,1192","0,06563"
"0,025","0,016","0,962","0,933","9,589",,"0,0054","0,1191","0,06667"
"0,027","0,017","0,998","0,944","10,525",,"0,0055","0,1189","0,06771"
"0,028","0,018","1,029","0,957","12,290",,"0,0056","0,1188","0,06875"
"0,029","0,019","1,039","0,968","10,860",,"0,0058","0,1186","0,06979"
"0,030","0,020","1,036","0,980","11,271",,"0,0059","0,1185","0,07083"
"0,031","0,021","1,026","0,988","7,748",,"0,0060","0,1183","0,07188"
"0,032","0,022","1,019","0,994","6,212",,"0,0061","0,1182","0,07292"
"0,034","0,023","1,049","1,005","9,751",,"0,0062","0,1181","0,07396"
"0,035","0,024","1,087","1,020","14,870",,"0,0064","0,1179","0,07500"
"0,036","0,025","1,082","1,033","12,230",,"0,0066","0,1178","0,07604"
"0,037","0,026","1,094","1,046","12,709",,"0,0067","0,1176","0,07708"
"0,039","0,028","1,097","1,056","9,492",,"0,0069","0,1174","0,07813"
"0,040","0,029","1,094","1,062","6,235",,"0,0069","0,1173","0,07917"
"0,042","0,030","1,105","1,069","6,345",,"0,0070","0,1171","0,08021"
"0,043","0,031","1,136","1,079","9,566",,"0,0072","0,1170","0,08125"
"0,044","0,032","1,149","1,091","11,750",,"0,0073","0,1168","0,08229"
"0,045","0,033","1,147","1,104","12,257",,"0,0075","0,1166","0,08333"
"0,047","0,035","1,172","1,116","11,750",,"0,0077","0,1164","0,08438"
"0,048","0,036","1,199","1,127","10,691",,"0,0078","0,1163","0,08542"
"0,050","0,037","1,210","1,140","12,211",,"0,0080","0,1161","0,08646"
"0,051","0,038","1,208","1,151","10,921",,"0,0082","0,1160","0,08750"
"0,052","0,040","1,217","1,164","11,566",,"0,0083","0,1158","0,08854"
"0,053","0,041","1,214","1,176","11,520",,"0,0085","0,1157","0,08958"
"0,055","0,042","1,227","1,188","11,658",,"0,0087","0,1155","0,09063"
