Index,Periodos (s),Gravidade (m/s²),Média (g),Desvio P (g), Nº Dados
1,"2,74","11,41085916","9,802026014","0,7334759958",505
2,"2,88","10,32843439",,,
3,"3,14","8,688807477",Média (p),Desvio P (p),
4,"2,85","10,54701954","2,962415842","0,1094489505",
5,3,"9,518685133",,,
6,"2,89","10,257081",,,
7,"3,07","9,089557046",,,
8,"2,95","9,844086895",,,
9,"2,94","9,911167361",,,
10,"2,96","9,777685149",,,
11,"2,86","10,4733931",,,
12,"3,15","8,633728012",,,
13,"2,92","10,04740174",,,
14,"2,93","9,978935829",,,
15,"3,09","8,972273667",,,
16,"2,84","10,62142509",,,
17,"3,01","9,455543118",,,
18,"3,03","9,331129432",,,
19,"2,85","10,54701954",,,
20,"3,02","9,393027302",,,
21,"2,96","9,777685149",,,
22,"3,02","9,393027302",,,
23,"2,99","9,58246174",,,
24,"2,92","10,04740174",,,
25,"2,87","10,40053493",,,
26,3,"9,518685133",,,
27,"3,03","9,331129432",,,
28,"2,96","9,777685149",,,
29,"2,94","9,911167361",,,
30,"2,96","9,777685149",,,
31,3,"9,518685133",,,
32,"2,92","10,04740174",,,
33,"2,95","9,844086895",,,
34,"2,95","9,844086895",,,
35,"3,02","9,393027302",,,
36,"2,93","9,978935829",,,
37,"2,95","9,844086895",,,
38,"2,97","9,711952998",,,
39,"3,04","9,269841391",,,
40,"2,92","10,04740174",,,
41,"2,92","10,04740174",,,
42,"2,94","9,911167361",,,
43,"3,06","9,149062989",,,
44,"2,99","9,58246174",,,
45,"2,99","9,58246174",,,
46,"2,96","9,777685149",,,
47,"2,91","10,1165747",,,
48,"2,94","9,911167361",,,
49,"3,05","9,209155195",,,
50,"2,86","10,4733931",,,
51,"2,99","9,58246174",,,
52,"2,97","9,711952998",,,
53,"3,01","9,455543118",,,
54,"2,86","10,4733931",,,
55,"3,01","9,455543118",,,
56,"2,95","9,844086895",,,
57,"3,1","8,914481395",,,
58,"2,91","10,1165747",,,
59,"2,84","10,62142509",,,
60,"2,89","10,257081",,,
61,"3,19","8,418565679",,,
62,"2,97","9,711952998",,,
63,"2,86","10,4733931",,,
64,"2,88","10,32843439",,,
65,"3,12","8,80055948",,,
66,"2,95","9,844086895",,,
67,"3,01","9,455543118",,,
68,"2,97","9,711952998",,,
69,3,"9,518685133",,,
70,"2,99","9,58246174",,,
71,"2,9","10,18646447",,,
72,"2,91","10,1165747",,,
73,"2,95","9,844086895",,,
74,"3,05","9,209155195",,,
75,"2,94","9,911167361",,,
76,"2,95","9,844086895",,,
77,"2,89","10,257081",,,
78,"3,09","8,972273667",,,
79,"2,91","10,1165747",,,
