Periodos (ms),Periodos (s),Altura (m),Gravidade (m/s²),,,Periodo,Gravidade
2967,"2,967","2,17","9,732",,Média,"2,965","9,745"
2965,"2,965","2,17","9,745",,Desv. Pad.,"0,001","0,006"
2966,"2,966","2,17","9,738",,,,
2966,"2,966","2,17","9,738",,,,
2966,"2,966","2,17","9,738",,,,
2966,"2,966","2,17","9,738",,,,
2966,"2,966","2,17","9,738",,,,
2965,"2,965","2,17","9,745",,,,
2967,"2,967","2,17","9,732",,,,
2965,"2,965","2,17","9,745",,,,
2966,"2,966","2,17","9,738",,,,
2965,"2,965","2,17","9,745",,,,
2967,"2,967","2,17","9,732",,,,
2965,"2,965","2,17","9,745",,,,
2966,"2,966","2,17","9,738",,,,
2965,"2,965","2,17","9,745",,,,
2966,"2,966","2,17","9,738",,,,
2966,"2,966","2,17","9,738",,,,
2966,"2,966","2,17","9,738",,,,
2966,"2,966","2,17","9,738",,,,
2965,"2,965","2,17","9,745",,,,
2966,"2,966","2,17","9,738",,,,
2966,"2,966","2,17","9,738",,,,
2965,"2,965","2,17","9,745",,,,
2965,"2,965","2,17","9,745",,,,
2966,"2,966","2,17","9,738",,,,
2965,"2,965","2,17","9,745",,,,
2966,"2,966","2,17","9,738",,,,
2965,"2,965","2,17","9,745",,,,
2966,"2,966","2,17","9,738",,,,
2964,"2,964","2,17","9,751",,,,
2966,"2,966","2,17","9,738",,,,
2965,"2,965","2,17","9,745",,,,
2966,"2,966","2,17","9,738",,,,
2965,"2,965","2,17","9,745",,,,
2965,"2,965","2,17","9,745",,,,
2965,"2,965","2,17","9,745",,,,
2965,"2,965","2,17","9,745",,,,
2965,"2,965","2,17","9,745",,,,
2966,"2,966","2,17","9,738",,,,
2964,"2,964","2,17","9,751",,,,
2965,"2,965","2,17","9,745",,,,
2965,"2,965","2,17","9,745",,,,
2965,"2,965","2,17","9,745",,,,
2965,"2,965","2,17","9,745",,,,
2965,"2,965","2,17","9,745",,,,
2966,"2,966","2,17","9,738",,,,
2964,"2,964","2,17","9,751",,,,
2965,"2,965","2,17","9,745",,,,
2965,"2,965","2,17","9,745",,,,
2964,"2,964","2,17","9,751",,,,
2966,"2,966","2,17","9,738",,,,
2966,"2,966","2,17","9,738",,,,
2964,"2,964","2,17","9,751",,,,
2966,"2,966","2,17","9,738",,,,
2964,"2,964","2,17","9,751",,,,
2965,"2,965","2,17","9,745",,,,
2965,"2,965","2,17","9,745",,,,
2965,"2,965","2,17","9,745",,,,
